City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,Ahipara,-35.1667,173.1667,58.08,66,100,8.48,NZ,2022-09-14 00:02:49
287,Quatre Cocos,-20.2078,57.7625,68.09,78,58,6.4,MU,2022-09-14 00:02:49
288,Lujan,-34.5703,-59.105,58.05,76,3,1.01,AR,2022-09-14 00:01:00
289,Havoysund,70.9963,24.6622,39.43,61,100,5.84,NO,2022-09-14 00:02:50
290,Port Elizabeth,-33.918,25.5701,55.44,91,0,6.6,ZA,2022-09-14 00:02:51
291,Alpena,45.0617,-83.4327,70.05,90,0,0.0,US,2022-09-14 00:02:51
292,Alofi,-19.0595,-169.9187,76.89,73,55,17.81,NU,2022-09-14 00:02:51
293,Doha,25.2867,51.5333,89.49,79,0,4.61,QA,2022-09-13 23:58:12
294,Binga,-17.6203,27.3414,69.71,43,1,3.74,ZW,2022-09-14 00:02:52
295,Kodiak,57.79,-152.4072,50.85,82,94,2.8,US,2022-09-14 00:02:52
296,Guarapari,-20.6667,-40.4975,72.9,79,9,14.25,BR,2022-09-14 00:02:52
297,Maldonado,-34.6667,-54.9167,52.23,96,27,3.83,UY,2022-09-14 00:02:53
298,Isangel,-19.55,169.2667,80.28,65,85,8.12,VU,2022-09-14 00:02:53
299,Lagoa,39.05,-27.9833,74.08,88,49,12.41,PT,2022-09-14 00:02:54
300,Fairbanks,64.8378,-147.7164,65.61,52,98,3.24,US,2022-09-14 00:00:25
301,Sydney,-33.8679,151.2073,63.23,63,40,10.36,AU,2022-09-14 00:02:23
302,Mitsamiouli,-11.3847,43.2844,75.25,72,51,3.58,KM,2022-09-14 00:02:54
303,Lodja,-3.4833,23.4333,69.49,98,98,1.03,CD,2022-09-14 00:02:55
304,Nalut,30.3333,10.85,80.26,28,0,12.39,LY,2022-09-14 00:02:55
305,Pasighat,28.0667,95.3333,75.09,98,93,1.7,IN,2022-09-14 00:02:56
306,Coquimbo,-29.9533,-71.3436,54.18,80,0,4.97,CL,2022-09-14 00:02:56
307,Ilula,-7.6766,36.0366,55.47,90,42,6.13,TZ,2022-09-14 00:02:56
308,Port Shepstone,-30.7414,30.455,61.3,79,4,4.63,ZA,2022-09-14 00:02:57
309,The Pas,53.8251,-101.2541,59.63,42,21,5.91,CA,2022-09-14 00:02:58
310,Dakar,14.6937,-17.4441,82.49,77,93,7.0,SN,2022-09-14 00:00:06
311,Kijang,35.2442,129.2139,75.33,75,100,20.22,KR,2022-09-14 00:02:58
312,Izhma,65.0083,53.9113,43.0,98,96,5.5,RU,2022-09-14 00:02:59
313,Calvia,39.5657,2.5062,81.91,77,100,14.56,ES,2022-09-14 00:02:59
314,Kahului,20.8947,-156.47,84.97,80,57,5.99,US,2022-09-13 23:58:51
315,Sorong,-0.8833,131.25,80.35,81,82,2.13,ID,2022-09-14 00:02:59
316,Pacific Grove,36.6177,-121.9166,79.56,72,0,8.05,US,2022-09-14 00:03:00
317,Auki,-8.7676,160.7034,85.93,61,75,2.53,SB,2022-09-14 00:03:00
318,San Rafael,-34.6177,-68.3301,60.24,25,33,0.63,AR,2022-09-14 00:00:08
319,Nenjiang,49.1833,125.2167,62.02,38,66,11.79,CN,2022-09-14 00:03:01
320,Bibiani,6.4635,-2.3194,69.51,100,99,2.55,GH,2022-09-14 00:03:01
321,Sakakah,29.9697,40.2064,81.37,21,0,6.98,SA,2022-09-14 00:03:01
322,Fereydun Kenar,36.6864,52.5225,78.8,63,0,4.47,IR,2022-09-14 00:03:02
323,Hurghada,27.2574,33.8129,83.88,39,0,15.26,EG,2022-09-14 00:03:02
324,Nkowakowa,-23.8878,30.2871,60.21,82,100,5.66,ZA,2022-09-14 00:03:03
325,Wamba,8.9333,8.6,71.29,93,96,0.87,NG,2022-09-14 00:03:04
326,Talnakh,69.4865,88.3972,33.21,93,97,5.57,RU,2022-09-14 00:03:04
327,Bonavista,48.6499,-53.1147,56.64,95,100,22.7,CA,2022-09-14 00:04:04
328,Port Hedland,-20.3167,118.5667,73.45,64,0,10.36,AU,2022-09-14 00:04:05
329,Egvekinot,66.3167,-179.1667,35.35,98,100,5.59,RU,2022-09-14 00:04:06
330,San Cristobal,7.7669,-72.225,66.02,97,86,1.88,VE,2022-09-14 00:04:06
331,Saint Anthony,45.0205,-93.218,76.75,50,0,4.61,US,2022-09-14 00:04:06
332,Lompoc,34.6391,-120.4579,81.57,65,0,17.27,US,2022-09-14 00:03:52
333,Victoria,22.2855,114.1577,89.65,41,36,8.01,HK,2022-09-14 00:00:03
334,Paamiut,61.994,-49.6678,43.43,82,74,8.08,GL,2022-09-14 00:04:07
335,Iskateley,67.6803,53.1512,42.4,95,99,8.68,RU,2022-09-14 00:04:08
336,Kabare,-2.4683,28.8242,61.74,93,98,0.54,CD,2022-09-13 23:59:13
337,Phrae,18.0833,100.0,70.0,96,56,1.68,TH,2022-09-14 00:04:09
338,Severnoye,56.3491,78.3619,37.63,83,64,3.49,RU,2022-09-14 00:04:09
339,Tonneins,44.3921,0.3124,72.43,65,100,4.85,FR,2022-09-14 00:04:09
340,Aykhal,66.0,111.5,34.79,71,40,15.95,RU,2022-09-14 00:04:10
341,Gwadar,25.1216,62.3254,80.49,87,5,8.16,PK,2022-09-14 00:04:10
342,Fort Nelson,58.8053,-122.7002,70.25,27,0,1.5,CA,2022-09-14 00:00:41
343,Wajir,1.7471,40.0573,74.3,61,97,15.52,KE,2022-09-14 00:04:11
344,Norwood,42.1945,-71.1995,74.35,91,100,5.75,US,2022-09-14 00:00:41
345,Moron,-34.6534,-58.6198,58.96,84,10,5.44,AR,2022-09-14 00:04:11
346,Geraldton,-28.7667,114.6,57.61,82,75,3.44,AU,2022-09-14 00:04:12
347,Pisco,-13.7,-76.2167,62.02,76,81,2.59,PE,2022-09-14 00:04:12
348,Makasar,-5.14,119.4221,80.65,89,20,2.3,ID,2022-09-14 00:00:11
349,Longyearbyen,78.2186,15.6401,35.44,75,75,2.3,SJ,2022-09-14 00:04:12
350,Kavaratti,10.5669,72.642,80.28,80,38,12.1,IN,2022-09-14 00:04:13
351,Touros,-5.1989,-35.4608,76.48,84,37,13.24,BR,2022-09-14 00:04:13
352,Odweyne,9.4092,45.064,77.34,51,96,14.54,SO,2022-09-14 00:04:14
353,La Sarre,48.8002,-79.1996,59.4,73,89,5.19,CA,2022-09-14 00:04:14
354,Dunedin,-45.8742,170.5036,49.8,65,54,5.99,NZ,2022-09-14 00:04:14
355,Burnie,-41.0667,145.9167,48.94,77,88,11.97,AU,2022-09-14 00:04:15
356,Portland,45.5234,-122.6762,74.44,57,78,5.99,US,2022-09-14 00:01:17
357,Tocopilla,-22.092,-70.1979,62.29,64,6,12.71,CL,2022-09-14 00:04:15
358,Hami,42.8,93.45,64.0,25,19,1.63,CN,2022-09-14 00:04:16
359,Tessalit,20.1986,1.0114,93.02,16,72,10.36,ML,2022-09-14 00:02:15
360,Cocobeach,1.0002,9.5823,76.55,83,92,3.13,GA,2022-09-14 00:04:16
361,Vauvert,43.7,4.2833,76.59,83,100,9.22,FR,2022-09-14 00:04:17
362,Lucapa,-8.4192,20.7447,75.9,50,90,3.31,AO,2022-09-14 00:04:17
363,Rio Gallegos,-51.6226,-69.2181,43.48,57,76,19.46,AR,2022-09-14 00:01:45
364,Kailua,21.4022,-157.7394,83.48,68,47,3.0,US,2022-09-14 00:00:03
365,Saldanha,-33.0117,17.9442,57.9,66,0,7.29,ZA,2022-09-14 00:04:18
366,Fortuna Foothills,32.6578,-114.4119,96.22,31,0,5.99,US,2022-09-14 00:01:05
367,Half Moon Bay,37.4636,-122.4286,77.05,66,75,5.75,US,2022-09-14 00:00:41
368,Sao Filipe,14.8961,-24.4956,79.39,82,100,7.85,CV,2022-09-14 00:04:18
369,Berwick,41.0545,-76.2333,69.37,77,38,5.32,US,2022-09-14 00:00:51
370,Farafenni,13.5667,-15.6,76.17,94,100,4.99,GM,2022-09-14 00:04:19
371,Ribeira Grande,38.5167,-28.7,75.51,89,17,11.05,PT,2022-09-14 00:04:19
372,Zhigalovo,54.8097,105.1578,38.77,80,100,2.08,RU,2022-09-14 00:04:20
373,Fort Stewart,31.8722,-81.61,81.03,88,100,2.46,US,2022-09-14 00:01:50
374,Gushikawa,26.3544,127.8686,86.0,81,40,10.36,JP,2022-09-14 00:05:21
375,Ananas,19.2466,-71.9557,66.88,94,88,7.92,HT,2022-09-14 00:05:21
376,Inhambane,-23.865,35.3833,67.98,68,32,12.46,MZ,2022-09-14 00:05:21
377,Cidahu,-6.3113,106.0568,71.67,89,99,1.34,ID,2022-09-14 00:05:22
378,Narsaq,60.9167,-46.05,46.62,73,27,2.98,GL,2022-09-14 00:05:22
379,Catia La Mar,10.6038,-67.0303,84.4,65,40,5.75,VE,2022-09-14 00:05:22
380,Baruun-Urt,46.6806,113.2792,62.62,46,96,7.52,MN,2022-09-14 00:05:23
381,Moerai,-22.4333,-151.3333,70.75,72,69,21.56,PF,2022-09-14 00:05:23
382,La Libertad,-2.2333,-80.9,67.66,84,73,10.96,EC,2022-09-14 00:05:24
383,Mandalgovi,45.7625,106.2708,66.47,29,100,4.41,MN,2022-09-14 00:05:24
384,El Centro,32.792,-115.563,98.58,34,20,10.36,US,2022-09-14 00:05:24
385,Puerto Ayacucho,5.6639,-67.6236,77.14,86,96,3.09,VE,2022-09-14 00:05:25
