City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
205,Evensk,RU,61.95,159.2333,44.78,52,84,9.86,broken clouds
206,Chuy,UY,-33.6971,-53.4616,50.2,89,100,6.53,overcast clouds
207,Palmer,US,42.1584,-72.3287,65.89,85,40,10.36,scattered clouds
208,Broken Hill,AU,-31.95,141.4333,63.61,60,94,10.78,overcast clouds
209,Sorland,NO,67.667,12.6934,53.46,87,100,25.93,light rain
210,Kahta,TR,37.7855,38.6237,72.77,72,75,4.61,broken clouds
211,Monchegorsk,RU,67.9397,32.8739,42.37,94,100,3.62,light rain
212,Nanortalik,GL,60.1432,-45.2371,43.02,95,73,3.06,broken clouds
213,Shingu,JP,33.7333,135.9833,72.05,94,100,14.83,light rain
214,Namibe,AO,-15.1961,12.1522,66.33,88,58,3.42,broken clouds
215,Kamenka,RU,51.3223,42.7678,58.26,65,100,5.44,light rain
216,Kaitangata,NZ,-46.2817,169.8464,50.74,85,15,4.29,few clouds
217,Tevriz,RU,57.509,72.4042,58.23,61,99,5.37,overcast clouds
218,Troy,US,42.6056,-83.1499,65.82,69,0,8.05,clear sky
219,Voh,NC,-20.9667,164.7,74.68,75,35,8.81,scattered clouds
220,Longyearbyen,SJ,78.2186,15.6401,33.64,64,40,26.46,scattered clouds
221,Alyangula,AU,-13.8483,136.4192,85.86,60,14,3.74,few clouds
222,Cacoal,BR,-11.4386,-61.4472,81.79,51,87,2.15,overcast clouds
223,Machacamarca,BO,-18.1667,-67.0333,40.24,14,92,1.81,overcast clouds
224,Inirida,CO,3.8653,-67.9239,70.86,98,88,0.85,overcast clouds
225,Amboasary,MG,-25.0333,46.3833,79.54,47,0,4.52,clear sky
226,Kavieng,PG,-2.5744,150.7967,83.25,72,42,13.87,scattered clouds
227,Salalah,OM,17.0151,54.0924,82.49,74,75,5.75,broken clouds
228,Ponta Do Sol,PT,32.6667,-17.1,75.0,86,14,2.77,few clouds
229,Clyde River,CA,70.4692,-68.5914,30.43,86,100,24.16,overcast clouds
230,Borjomi,GE,41.8527,43.4128,66.2,75,100,2.06,overcast clouds
231,Nobres,BR,-14.7203,-56.3275,82.0,57,67,4.36,broken clouds
232,Bud,US,39.447,-86.1758,75.22,82,92,10.98,overcast clouds
233,Kaffrine,SN,14.1059,-15.5508,73.09,96,100,3.58,moderate rain
234,Shakawe,BW,-18.3667,21.85,65.28,11,0,7.34,clear sky
235,Bintulu,MY,3.1667,113.0333,91.81,62,40,4.61,scattered clouds
236,Batouri,CM,4.4333,14.3667,68.77,99,100,1.63,overcast clouds
237,Chulym,RU,55.0997,80.9572,74.95,35,65,10.67,broken clouds
238,Jalu,LY,29.0331,21.5482,77.5,57,1,13.31,clear sky
239,Ucluelet,CA,48.9329,-125.5528,53.1,77,2,1.21,clear sky
240,Turayf,SA,31.6725,38.6637,64.65,88,0,9.22,clear sky
241,Puerto Colombia,CO,10.9878,-74.9547,78.89,78,98,4.14,overcast clouds
242,Dalby,AU,-27.1833,151.2667,74.98,37,23,4.0,few clouds
243,Werda,BW,-25.2667,23.2833,59.59,23,1,8.59,clear sky
244,Porto Novo,BJ,6.4965,2.6036,73.99,93,100,4.09,light rain
245,Antalaha,MG,-14.9003,50.2788,72.55,91,87,13.73,moderate rain
246,Nelson,NZ,-41.2833,173.2833,62.29,59,52,1.01,broken clouds
247,Vao,NC,-22.6667,167.4833,71.92,78,53,18.72,broken clouds
248,Esna,EG,25.2934,32.554,73.42,27,0,7.25,clear sky
